reg_code,National,ISO3,ISO3-numeric,ISO2,FIPS,COACCH,IMAGE26,NGFS downscaled,Continent,Sub-region
CA-BC,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CAF,CAF,CAF,140,CF,CT,SSA,WAF,,Africa,Sub-Saharan Africa
CAN,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CA-ON,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CA-QC,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CCK,AUS,CCK,166,CC,CK,OCE,OCE,,Oceania,Australia and New Zealand
CHE,CHE,CHE,756,CH,SZ,WEU,WEU,CHE,Europe,Western Europe
CHL,CHL,CHL,152,CL,CI,Laca,RSAM,CHL,Americas,Latin America and the Caribbean
CHN,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CIV,CIV,CIV,384,CI,IV,SSA,WAF,CIV,Africa,Sub-Saharan Africa
CMR,CMR,CMR,120,CM,CM,SSA,WAF,CMR,Africa,Sub-Saharan Africa
CN-01,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CN-02,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CN-03,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CN-04,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CN-05,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
CN-06,CHN,CHN,156,CN,CH,CHN,CHN,CHN,Asia,Eastern Asia
COD,COD,COD,180,CD,CG,SSA,WAF,COD,Africa,Sub-Saharan Africa
COG,COG,COG,178,CG,CF,SSA,WAF,COG,Africa,Sub-Saharan Africa
COK,NZL,COK,184,CK,CW,OCE,OCE,,Oceania,Polynesia
COL,COL,COL,170,CO,CO,Laca,RSAM,COL,Americas,Latin America and the Caribbean
COM,COM,COM,174,KM,CN,SSA,EAF,,Africa,Sub-Saharan Africa
CPV,CPV,CPV,132,CV,CV,SSA,WAF,,Africa,Sub-Saharan Africa
CRI,CRI,CRI,188,CR,CS,Laca,RCAM,CRI,Americas,Latin America and the Caribbean
CUB,CUB,CUB,192,CU,CU,Laca,RCAM,CUB,Americas,Latin America and the Caribbean
CUW,NLD,CUW,531,CW,UC,Laca,WEU,,Americas,Latin America and the Caribbean
CXR,AUS,CXR,162,CX,KT,OCE,OCE,,Oceania,Australia and New Zealand
CYM,GBR,CYM,136,KY,CJ,Laca,WEU,,Americas,Latin America and the Caribbean
CYP,CYP,CYP,196,CY,CY,CEU,CEU,CYP,Asia,Western Asia
CZE,CZE,CZE,203,CZ,EZ,CEU,CEU,CZE,Europe,Eastern Europe
DEU,DEU,DEU,276,DE,GM,WEU,WEU,DEU,Europe,Western Europe
DJI,DJI,DJI,262,DJ,DJ,SSA,EAF,,Africa,Sub-Saharan Africa
DMA,DMA,DMA,212,DM,DO,Laca,RCAM,,Americas,Latin America and the Caribbean
DNK,DNK,DNK,208,DK,DA,WEU,WEU,DNK,Europe,Northern Europe
DOM,DOM,DOM,214,DO,DR,Laca,RCAM,DOM,Americas,Latin America and the Caribbean
